value,Country
us,🇺🇸 USA
uk,🇬🇧 UK
spain,🇪🇸 Spain
russia,🇷🇺 Russia
canada,🇨🇦 Canada
germany,🇩🇪 Germany
france,🇫🇷 France
singapore,🇸🇬 Singapore
malaysia,🇲🇾 Malaysia
italy,🇮🇹 Italy
ireland,🇮🇪 Ireland
southkorea,🇰🇷 South Korea
finland,🇫🇮 Finland
india,IN India
